2022,2023,2024
Georgia,Alabama,USC
Michigan,Ohio State,LSU
LSU,Alabama,North Carolina
Cincinnati,Florida,Ohio State
Oregon,Illinois,Notre Dame
NC State,Ohio State,LSU
Alabama,Texas Tech,Alabama
USC,Texas,Washington
Mississippi State,Georgia,Washington
Ohio State,Tennessee,Michigan
Ohio State,Northwestern,Penn State
Alabama,Alabama,Oregon
Georgia,Iowa,Georgia
Notre Dame,Georgia,Oregon State
Texas A&M,Iowa State,UCLA
Penn State,Mississippi State,Texas
Boston College,Oregon,Alabama
Arkansas,Iowa,Georgia
Northern Iowa,Pittsburgh,Florida State
Pittsburgh,Ohio State,Washington
Washington,TCU,Penn State
Georgia,Boston College,Toledo
Florida,USC,LSU
Tulsa,Maryland,Alabama
Iowa,Utah,Arizona
Florida State,Michigan,Duke
Utah,Oklahoma,Missouri
Georgia,Clemson,Texas
Chattanooga,Clemson,Oklahoma
Purdue,Georgia,Clemson
Michigan,Kansas State,Florida
Georgia,Penn State,South Carolina
Houston,Kentucky,Florida State
North Dakota State,Iowa,Georgia
Auburn,Notre Dame,Clemson
Iowa State,TCU,Illinois
Baylor,Auburn,Washington
Penn State,Syracuse,Texas
Washington,Ole Miss,Florida State
Minnesota,Notre Dame,Iowa
Michigan State,LSU,Alabama
Clemson,Oregon State,Georgia
Kentucky,Wisconsin,Rutgers
Alabama,Kansas State,Oregon
Michigan,Alabama,Texas A&M
Kentucky,Georgia Tech,Texas
Alabama,Illinois,Minnesota
Penn State,North Dakota State,LSU
Tennessee,Wisconsin,Michigan
Baylor,Michigan State,Michigan
Nebraska,South Carolina,West Virginia
Georgia,UCLA,Texas
Cincinnati,Florida,Kansas State
Western Michigan,USC,Ohio State
Colorado State,SMU,Houston
Ole Miss,Miami (FL),Western Michigan
Central Michigan,Minnesota,Alabama
Montana State,Michigan,Georgia
LSU,Florida,Notre Dame
Nebraska,Michigan,Utah
USC,Penn State,Missouri
Cincinnati,Penn State,Washington
Georgia,Oklahoma,BYU
Oklahoma,South Carolina,Florida State
Kentucky,Alabama,Western Kentucky
Oklahoma,Illinois,Florida State
North Carolina,Arkansas,TCU
Mississippi State,Tennessee,Penn State
Ohio State,Houston,Michigan
Wyoming,Alabama,Kentucky
Tennessee,TCU,Illinois
Washington State,Syracuse,Kentucky
Virginia,Tennessee,Kansas State
Cincinnati,Tennessee,Washington
Alabama,Ohio State,Yale
UConn,Sacramento State,Utah
Central Michigan,Tennessee,Maryland
UAB,South Dakota State,USC
Baylor,North Carolina,Pittsburgh
UCLA,Oregon,Alabama
LSU,Tulane,UConn
Western Kentucky,Louisville,Illinois
Georgia,Iowa,Michigan
Texas A&M,Texas A&M,Michigan
Houston,Washington State,Michigan
Liberty,Clemson,Kansas
San Diego State,Penn State,Notre Dame
South Alabama,Auburn,USC
Baylor,Wake Forest,Georgia
Memphis,Texas,Boston College
Arizona State,Tulane,Missouri
UCLA,Oklahoma,Washington
LSU,Georgia,Penn State
Ole Miss,Stanford,Houston Christian
Florida,Alabama,Duke
Maryland,Western Kentucky,Florida State
Illinois,Arkansas,Texas A&M
Alabama,Baylor,NC State
Purdue,Michigan,Miami (FL)
Cincinnati,Cincinnati,Rice
Ohio State,Alabama,Texas
Georgia,USC,Oregon
Wisconsin,Old Dominion,Texas A&M
Wisconsin,Maryland,Texas Tech
SMU,Georgia,Alabama
Washington,BYU,North Carolina
Florida,Troy,Penn State
Oklahoma,LSU,Oregon
Cincinnati,TCU,Oregon
Minnesota,Northwestern,UCF
Louisiana,Ohio State,Oregon
San Diego State,Maryland,Mississippi State
Louisiana,Utah,North Carolina
Iowa,NC State,Missouri
Pittsburgh,Texas,Iowa
Iowa State,Auburn,LSU
Texas A&M,Eastern Michigan,Wisconsin
Missouri,Utah,UTEP
Alabama,Virginia Tech,South Dakota State
Penn State,Pittsburgh,Tennessee
Arizona State,Florida,Michigan
Georgia,UCLA,Iowa
Texas A&M,Mississippi State,Ohio State
LSU,Ole Miss,Wake Forest
Texas Tech,TCU,Oregon
LSU,Missouri,British Columbia
South Dakota State,Fresno State,Clemson
Iowa State,Georgia,Kentucky
Wisconsin,San Jose State,Louisville
Penn State,Oklahoma State,Iowa State
Michigan,Purdue,TCU
Nevada,Wisconsin,Utah
Georgia,Cincinnati,Washington State
UTSA,LSU,Wisconsin
Fayetteville State,Purdue,Arizona
North Dakota State,Louisville,Auburn
Western Kentucky,Clemson,Maryland
Memphis,South Carolina,Clemson
Coastal Carolina,Houston,Temple
Wake Forest,UCLA,Notre Dame
Houston,LSU,Georgia
South Carolina State,Northwestern,Oregon State
Maryland,Pittsburgh,Notre Dame
North Carolina,UCLA,Kansas
Kentucky,Florida State,Missouri
Indiana,Minnesota,Louisville
Arizona State,Cincinnati,Notre Dame
Boise State,Oregon,Ohio State
Nevada,Penn State,TCU
Stanford,Florida,South Carolina
BYU,Michigan,Missouri
Oklahoma,William & Mary,Texas A&M
UTSA,Pittsburgh,Ole Miss
Ole Miss,Michigan,Washington State
North Dakota,South Alabama,Clemson
Cincinnati,Clemson,Louisville
Sam Houston State,Stanford,Washington State
Ohio State,California,Colorado State
Missouri State,Virginia,Penn State
UCLA,Texas A&M,Washington
Appalachian State,Appalachian State,Washington
Samford,Miami (FL),Texas
UCLA,Illinois,Duke
Notre Dame,BYU,Auburn
Minnesota,Minnesota,Marshall
Toledo,Stephen F. Austin,Purdue
Fresno State,Alabama,Texas
Southern Utah,Auburn,Troy
North Carolina,North Carolina,Oregon State
Oregon State,Georgia,Pittsburgh
Washington,Purdue,Florida State
Toledo,Oklahoma,Michigan
North Carolina,Georgia,South Dakota State
Miami (OH),Georgia,Wake Forest
Tennessee,Clemson,Texas
LSU,Northwestern,International
Virginia Tech,BYU,Oklahoma
Arkansas,Southern Miss,Iowa
South Carolina,Bowling Green,Utah
San Diego State,Louisville,South Carolina
Kansas,Kansas State,Troy
Cincinnati,TCU,Tulane
South Carolina,Boise State,UCLA
Illinois,Western Michigan,Virginia
Villanova,Penn State,Florida State
San Diego State,Maryland,Alabama
Fordham,LSU,Illinois
Oklahoma State,Stanford,Oregon
Virginia Tech,Nebraska,LSU
Georgia,Ohio State,NC State
Michigan State,Nebraska,UAB
Youngstown State,Michigan State,Auburn
Oklahoma State,Kentucky,Tennessee
Air Force,Texas,Arizona
Georgia,Wake Forest,Texas
Missouri,Eastern Michigan,Clemson
Ouachita Baptist,Stanford,Georgia
SMU,New Mexico,California
Tennessee,Oregon,Northern Iowa
Northwest Missouri State,Boise State,Mississippi State
USC,Notre Dame,Marshall
Oklahoma,Rutgers,Georgia State
Baylor,Florida,Alabama
Tennessee,LSU,UCF
LSU,Iowa State,Louisville
Wisconsin,Princeton,Mississippi State
Illinois,Auburn,Findlay
Michigan State,Pittsburgh,New Hampshire
Virginia Tech,Old Dominion,Stanford
LSU,Liberty,Boston College
UCLA,Wagner,Tennessee
Georgia,Kansas State,Arkansas
Georgia,West Virginia,Texas
Wake Forest,Michigan State,Ole Miss
Virginia Tech,Ole Miss,USC
Cincinnati,TCU,Southeast Missouri State
Jackson State,Michigan,Arkansas
Minnesota,Kennesaw State,Kentucky
Ole Miss,North Carolina,Penn State
UCF,Old Dominion,UTEP
Penn State,Texas A&M,International
Arkansas,UAB,Notre Dame
Oklahoma,Wingate,Air Force
California,Alabama,Ole Miss
Ole Miss,South Carolina,USC
Southern,Appalachian State,Miami (FL)
South Carolina,North Carolina,South Dakota
Georgia Tech,UT Martin,Michigan State
Rutgers,USC,Pittsburgh
Tulsa,Ole Miss,Wake Forest
Clemson,Arizona State,Florida State
Wisconsin,Kentucky,Texas A&M Commerce
Lenoir Rhyne,Louisiana,Louisiana
Miami (FL),Oklahoma State,Oklahoma
Montana State,Central Michigan,Utah
Ole Miss,Northern Michigan,Texas Tech
Arizona State,Georgia,Miami (FL)
Ohio State,Michigan,USC
Yale,TCU,Eastern Kentucky
Oklahoma State,Houston,Michigan
South Dakota State,Purdue,USC
Baylor,Iowa State,Miami (FL)
Washington State,Oregon,Cincinnati
Valdosta State,South Carolina,Auburn
Michigan,Jackson State,Tulane
Texas Tech,Miami (FL),Washington
Kansas State,Oklahoma,Auburn
LSU,Pittsburgh,Holy Cross
Penn State,Texas,Michigan
UCLA,Ball State,Purdue
Rutgers,Maryland,Florida State
