,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,CRD,Charley Trippi HOF,HB,23,1955,1,2,7,0,0,99,205,434,2547,16,31,687,3506,23,130,1321,11,4,,Georgia,College Stats
1,2,PIT,Paul Duhart,B,24,1945,0,0,0,0,0,13,7,22,69,0,2,68,200,3,9,176,2,4,,Florida,
1,3,BOS,Joe Renfroe,B,,,0,0,0,,,,,,,,,,,,,,,,,Tulane,
1,4,BOS,Eddie Prokop,B,23,1949,0,0,2,0,,40,8,20,209,2,1,226,935,8,16,361,5,4,,Georgia Tech,College Stats
1,5,RAM,Elroy Hirsch HOF,E,22,1957,2,3,9,0,0,127,12,22,156,1,2,207,687,3,387,7029,60,15,,Michigan,
1,6,DET,Frank Szymanski,C,22,1949,0,0,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,1,,Notre Dame,
1,7,CHI,Don Lund,B,,,0,0,0,,,,,,,,,,,,,,,,,Michigan,College Stats
1,8,WAS,Jim Hardy,QB,22,1952,0,1,1,0,,69,423,912,5690,54,73,52,72,2,0,0,0,1,,USC,
1,9,PHI,John Yonakor,E,24,1952,0,0,0,0,,74,0,0,0,0,0,0,0,0,18,220,4,2,,Notre Dame,College Stats
1,10,NYG,Elmer Barbour,BB,26,1945,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,Wake Forest,
1,11,GNB,Walt Schlinkman,FB,23,1949,0,0,0,0,0,46,0,0,0,0,0,365,1455,8,3,-1,0,,,Texas Tech,
2,12,PIT,Jack Dugger,T,22,1949,0,0,1,0,,37,0,0,0,0,0,0,0,0,2,26,0,1,,Ohio St.,College Stats
2,13,BOS,Wayne Williams,B,,,0,0,0,,,,,,,,,,,,,,,,,Minnesota,
2,14,CRD,Paul Collins,QB,22,1945,0,0,0,0,0,3,3,17,43,0,2,10,13,0,0,0,0,,,Missouri,
2,15,BOS,Tom Dean,T,22,1947,0,0,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,,,SMU,
2,16,RAM,Mike Lazetich,G,24,1950,0,0,2,0,0,59,0,0,0,0,0,0,0,0,0,0,0,2,,Michigan,
3,17,BOS,Cecil Gray,C,,,0,0,0,,,,,,,,,,,,,,,,,Oregon,
