Round,2024
1,USC
1,LSU
1,North Carolina
1,Ohio State
1,Notre Dame
1,LSU
1,Alabama
1,Washington
1,Washington
1,Michigan
1,Penn State
1,Oregon
1,Georgia
1,Oregon State
1,UCLA
1,Texas
1,Alabama
1,Georgia
1,Florida State
1,Washington
1,Penn State
1,Toledo
1,LSU
1,Alabama
1,Arizona
1,Duke
1,Missouri
1,Texas
1,Oklahoma
1,Clemson
1,Florida
1,South Carolina
2,Florida State
2,Georgia
2,Clemson
2,Illinois
2,Washington
2,Texas
2,Florida State
2,Iowa
2,Alabama
2,Georgia
2,Rutgers
2,Oregon
2,Texas A&M
2,Texas
2,Minnesota
2,LSU
2,Michigan
2,Michigan
2,West Virginia
2,Texas
2,Kansas State
2,Ohio State
2,Houston
2,Western Michigan
2,Alabama
2,Georgia
2,Notre Dame
2,Utah
2,Missouri
2,Washington
2,BYU
2,Florida State
3,Western Kentucky
3,Florida State
3,TCU
3,Penn State
3,Michigan
3,Kentucky
3,Illinois
3,Kentucky
3,Kansas State
3,Washington
3,Yale
3,Utah
3,Maryland
3,USC
3,Pittsburgh
3,Alabama
3,UConn
3,Illinois
3,Michigan
3,Michigan
3,Michigan
3,Kansas
3,Notre Dame
3,USC
3,Georgia
3,Boston College
3,Missouri
3,Washington
3,Penn State
3,Houston Christian
3,Duke
3,Florida State
3,Texas A&M
3,NC State
3,Miami (FL)
3,Rice
4,Texas
4,Oregon
4,Texas A&M
4,Texas Tech
4,Alabama
4,North Carolina
4,Penn State
4,Oregon
4,Oregon
4,UCF
4,Oregon
4,Mississippi State
4,North Carolina
4,Missouri
4,Iowa
4,LSU
4,Wisconsin
4,UTEP
4,South Dakota State
4,Tennessee
4,Michigan
4,Iowa
4,Ohio State
4,Wake Forest
4,Oregon
4,British Columbia
4,Clemson
4,Kentucky
4,Louisville
4,Iowa State
4,TCU
4,Utah
4,Washington State
4,Wisconsin
4,Arizona
5,Auburn
5,Maryland
5,Clemson
5,Temple
5,Notre Dame
5,Georgia
5,Oregon State
5,Notre Dame
5,Kansas
5,Missouri
5,Louisville
5,Notre Dame
5,Ohio State
5,TCU
5,South Carolina
5,Missouri
5,Texas A&M
5,Ole Miss
5,Washington State
5,Clemson
5,Louisville
5,Washington State
5,Colorado State
5,Penn State
5,Washington
5,Washington
5,Texas
5,Duke
5,Auburn
5,Marshall
5,Purdue
5,Texas
5,Troy
5,Oregon State
5,Pittsburgh
5,Florida State
5,Michigan
5,South Dakota State
5,Wake Forest
5,Texas
5,International
6,Oklahoma
6,Iowa
6,Utah
6,South Carolina
6,Troy
6,Tulane
6,UCLA
6,Virginia
6,Florida State
6,Alabama
6,Illinois
6,Oregon
6,LSU
6,NC State
6,UAB
6,Auburn
6,Tennessee
6,Arizona
6,Texas
6,Clemson
6,Georgia
6,California
6,Northern Iowa
6,Mississippi State
6,Marshall
6,Georgia State
6,Alabama
6,UCF
6,Louisville
6,Mississippi State
6,Findlay
6,New Hampshire
6,Stanford
6,Boston College
6,Tennessee
6,Arkansas
6,Texas
6,Ole Miss
6,USC
6,Southeast Missouri State
6,Arkansas
6,Kentucky
6,Penn State
6,UTEP
7,International
7,Notre Dame
7,Air Force
7,Ole Miss
7,USC
7,Miami (FL)
7,South Dakota
7,Michigan State
7,Pittsburgh
7,Wake Forest
7,Florida State
7,Texas A&M Commerce
7,Louisiana
7,Oklahoma
7,Utah
7,Texas Tech
7,Miami (FL)
7,USC
7,Eastern Kentucky
7,Michigan
7,USC
7,Miami (FL)
7,Cincinnati
7,Auburn
7,Tulane
7,Washington
7,Auburn
7,Holy Cross
7,Michigan
7,Purdue
7,Florida State
7,Michigan
7,Michigan
7,Kansas State
7,Penn State
7,South Carolina
7,Alabama
