1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Chicago,Nebraska,Indiana,TCU,Tennessee,Michigan,Virginia,Georgia,Notre Dame,Georgia,Notre Dame,Oklahoma St.,Alabama,Pennsylvania,Notre Dame,SMU,Vanderbilt,Georgia,Stanford,Oregon,Colorado St.,Notre Dame,Rice,Iowa,LSU,Tulane,Syracuse,Oregon St.,Texas Tech,Auburn,Texas,Michigan St.,USC,USC,Louisiana Tech,Stanford,Notre Dame,Tampa,Tennessee St.,California,Oklahoma,USC,Texas,Ohio St.,Oklahoma,South Carolina,Texas,Stanford,Nebraska,Virginia Tech,Auburn,Miami (FL),Auburn,UCLA,Illinois,Miami (FL),Washington,Washington St.,Ohio St.,Penn St.,USC,Ohio St.,Tennessee,Kentucky,Penn St.,Virginia Tech,Fresno St.,USC,Mississippi,Utah,North Carolina St.,LSU,Michigan,Georgia,Oklahoma,Auburn,Stanford,Central Michigan,South Carolina,Florida St.,California,Texas A&M,Oklahoma,Oklahoma,LSU,Clemson,Georgia,Alabama,USC
Alabama,Washington St.,Ohio St.,Columbia,Duke,Texas A&M,Baylor,VMI,Wisconsin,Florida,LSU,Army,Pennsylvania,Georgia,Baylor,Notre Dame,California,Oklahoma,Arkansas,Oklahoma,Michigan St.,USC,Texas A&M,Pacific,Notre Dame,Wake Forest,North Carolina St.,LSU,Nebraska,North Carolina,Michigan,Michigan St.,Tennessee,Notre Dame,Notre Dame,Mississippi,California,LSU,Colorado,Maryland,Notre Dame,Pittsburgh,Kentucky,Colorado St.,Texas,North Carolina,Mississippi St.,SMU,Nebraska,Pittsburgh,Oklahoma,Alabama,Nebraska,Michigan St.,Penn St.,UCLA,Texas A&M,Notre Dame,San Diego St.,USC,Illinois,USC,Washington St.,Syracuse,Penn St.,Texas,North Carolina,Michigan St.,Iowa,Auburn,USC,Georgia Tech,Virginia,Baylor,Nebraska,Texas A&M,Baylor,Texas A&M,Auburn,Oregon,North Dakota St.,North Carolina,Penn St.,Ohio St.,Ohio St.,BYU,Michigan,Ohio St.,LSU
Notre Dame,Marquette,Duquesne,Mississippi,Arkansas,Stanford,Stanford,Tulsa,Notre Dame,Tulane,Army,Yale,Texas,SMU,Florida,LSU,San Francisco,Maryland,Notre Dame,Wisconsin,Ohio St.,Stanford,Michigan St.,Mississippi St.,LSU,Illinois,Utah St.,Mississippi,Arizona St.,Illinois,West Virginia,Florida,Tennessee St.,Purdue,Purdue,Santa Clara,Southern Illinois,Texas,Ohio St.,North Carolina,California,Miami (FL),Florida,Washington St.,USC,UCLA,USC,Penn St.,Michigan St.,Texas A&M,Purdue,Miami (FL),Miami (FL),Oklahoma St.,Miami (FL),Nebraska,Pittsburgh,Georgia,Tennessee,Alcorn St.,Illinois,Ohio St.,Florida St.,Oregon,Alabama,Florida,Oregon,Miami (FL),Pittsburgh,Michigan,Texas,Wisconsin,Boston College,LSU,Oklahoma,Alabama,Alabama,Oregon,Central Florida,Florida,Ohio St.,Stanford,USC,Alabama,Ohio St.,North Dakota St.,LSU,Alabama,North Carolina
Iowa,Minnesota,Colorado,TCU,Clemson,Washington,Duke,Columbia,Northwestern,Georgia Tech,Notre Dame,UCLA,Alabama,SMU,Minnesota,Oklahoma,Kentucky,California,Kansas St.,Notre Dame,Maryland,Michigan,Kentucky,Boston College,Penn St.,USC,Maryland,Michigan St.,Texas,Kansas,Indiana,Purdue,Missouri,North Texas,Utah St.,Arizona St.,Oregon,Alabama,Tennessee St.,Jackson St.,Oklahoma,USC,Ohio St.,Arkansas,Penn St.,UCLA,Ohio St.,Northwestern,Penn St.,Pittsburgh,Alabama,Auburn,Wisconsin,Alabama,Alabama,Nebraska,Michigan,Florida St.,USC,Colorado,UCLA,Florida St.,Michigan,Miami (FL),Florida St.,Missouri,Texas,Kentucky,North Carolina St.,Texas,Virginia,Clemson,Arkansas,Wake Forest,Oklahoma,Georgia,USC,Oklahoma,Clemson,Alabama,Ohio St.,LSU,Ohio St.,Clemson,Georgia,Florida,Cincinnati,Florida,Ohio St.
TCU,Duquesne,Arkansas,Dartmouth,Rice,Texas A&M,Michigan,Boston College,LSU,Michigan,Notre Dame,Texas Tech,Alabama,Nevada,Rice,Kentucky,Drake,Detroit Mercy,Baylor,Purdue,Mississippi St.,Purdue,Auburn,Oklahoma,Vanderbilt,Pittsburgh,Ohio St.,Ohio St.,USC,California,Iowa,Michigan St.,Texas-El Paso,Cincinnati,USC,Grambling St.,Houston,Purdue,Nebraska,Houston,Arizona St.,USC,Oklahoma St.,Clemson,Texas A&M,Alabama,BYU,Arkansas,Pittsburgh,USC,Michigan St.,Duke,Oklahoma,Florida St.,USC,Notre Dame,Florida St.,Alabama,Nebraska,Penn St.,Oklahoma,Texas,Penn St.,Texas,Tennessee,TCU,Texas,Kansas St.,Miami (FL),Auburn,Ohio St.,Penn St.,LSU,USC,Tennessee,LSU,Oklahoma St.,BYU,Buffalo,Iowa,Florida St.,Western Michigan,North Carolina St.,LSU,Alabama,LSU,Oregon,Illinois,Notre Dame
West Virginia,TCU,Fordham,Holy Cross,USC,Minnesota,Texas,Fordham,Indiana,Notre Dame,Marquette,UCLA,LSU,Clemson,Oklahoma,Notre Dame,Maryland,Compton CC (CA),Illinois,Notre Dame,West Virginia,Syracuse,Michigan St.,Notre Dame,TCU,UCLA,Northwestern,Alabama,Minnesota,Tennessee,Princeton,Syracuse,North Carolina St.,Florida St.,Oklahoma,Kansas,Stanford,USC,Indiana,Jackson St.,Alabama,Kentucky,Stanford,Alabama,Michigan,California,Clemson,Pittsburgh,Texas,Florida,Virginia,Colorado St.,Notre Dame,Nebraska,USC,Wake Technical CC,Houston,Alabama,Fresno St.,Florida,Nebraska,Florida St.,Nebraska,North Carolina St.,Florida St.,Georgia,North Carolina,Georgia,Miami (FL),West Virginia,Maryland,LSU,Ohio St.,Alabama,Oklahoma St.,Alabama,LSU,LSU,Texas A&M,USC,Notre Dame,LSU,Notre Dame,Duke,Oregon,Alabama,North Carolina St.,Ohio St.,LSU
San Francisco,Nebraska,Purdue,Michigan St.,Hardin-Simmons,Wisconsin,USC,Columbia,Michigan,Michigan,USC,Army,Wisconsin,VMI,Auburn,LSU,Baylor,USC,Notre Dame,Georgia Tech,Auburn,Michigan St.,West Virginia,Ohio St.,Syracuse,Ohio St.,Baylor,Wisconsin,Utah St.,Texas Tech,Purdue,UCLA,Notre Dame,Penn St.,Penn St.,La-Monroe,San Diego St.,Michigan,Colorado,Purdue,Purdue,Maryland,Notre Dame,Morehead St.,Nebraska,Pittsburgh,Stanford,Penn St.,Arizona,USC,West Virginia,Washington,South Carolina,Georgia,Houston,Tennessee,Wisconsin,USC,Notre Dame,Boston College,Ohio St.,Florida,San Diego St.,Georgia,Virginia,California,Miami (FL),Marshall,Texas,South Carolina,Texas,Oklahoma,USC,Maryland,Florida,Missouri,Alabama,North Carolina,Texas A&M,West Virginia,Oregon,Clemson,Wyoming,Kentucky,Auburn,Oregon,Alabama,Texas Tech,Alabama
Michigan St.,Nebraska,Gonzaga,TCU,NYU,Washington,Mississippi,Minnesota,Colgate,USC,Missouri,Oklahoma St.,Arkansas,Texas A&M,Michigan St.,Xavier (OH),Miami (FL),Alabama,Kentucky,Notre Dame,Miami (FL),Ohio St.,Michigan,Ohio St.,Ohio St.,Auburn,Arkansas,UCLA,Indiana,Notre Dame,Oklahoma,Michigan St.,Syracuse,Florida,Texas A&M,Grambling St.,Georgia,Eastern Kentucky,Penn St.,Grambling St.,Wisconsin,Houston,Notre Dame,Miami (FL),Colorado,USC,Penn St.,Mississippi St.,Vanderbilt,Washington,Oklahoma St.,Penn St.,USC,Pittsburgh,Arizona,Tennessee,Stanford,Louisiana Tech,Texas A&M,Ohio St.,Michigan,Virginia,North Carolina,Ohio St.,Michigan St.,Michigan,Oklahoma,Utah,Virginia Tech,Miami (FL),Ohio St.,Arkansas,Florida,Virginia,Alabama,Washington,Texas A&M,West Virginia,Oklahoma St.,Clemson,Michigan St.,Stanford,Georgia,Iowa,Clemson,South Carolina,USC,Texas,Washington
Ohio,Wisconsin,Detroit Mercy,Minnesota,Minnesota,Ohio St.,Minnesota,DePauw,Kansas,Notre Dame,UCLA,St. Mary's (CA),Georgia,Notre Dame,Villanova,Alabama,Washington,UCLA,Notre Dame,Maryland,Penn St.,Miami (FL),Texas A&M,Baylor,Northwestern,Bowling Green,LSU,Kentucky,Louisville,Washington St.,Illinois,Boston College,San Diego St.,Columbia,North Texas,Ohio St.,Jackson St.,Purdue,Alabama,Notre Dame,Texas A&M,Kansas,Memphis,Arizona St.,Washington,Michigan,Arizona St.,USC,Oklahoma,Indiana,Temple,Miami (FL),Tennessee,Florida St.,Texas A&M,Texas,Stanford,Washington,Alabama,Penn St.,Ohio St.,Iowa,Florida,USC,New Mexico,North Carolina St.,Tennessee,Oklahoma St.,Washington,Auburn,Florida St.,Ohio St.,USC,Boston College,Clemson,USC,Boston College,Alabama,UCLA,Miami (FL),Georgia,Washington,Notre Dame,Houston,Florida,Alabama,Mississippi St.,Georgia,Washington
Rice,Purdue,Oregon St.,Arizona,USC,Michigan,Stanford,Vanderbilt,St. Mary's (CA),Wake Forest,Notre Dame,Northwestern,Texas,Notre Dame,Ohio St.,Bradley,Tennessee,Texas,Mississippi,Rice,Texas,Oklahoma,Iowa,Utah,USC,Mississippi,Kansas,Georgia Tech,Pittsburgh,Baylor,Missouri,Arkansas,USC,Notre Dame,Texas Southern,Southern,Stanford,Syracuse,UCLA,Mississippi St.,Grambling St.,Baylor,Stanford,Penn St.,Texas A&M,Kansas,USC,Clemson,SMU,Wisconsin,Ohio St.,Purdue,Indiana,LSU,North Carolina St.,Virginia,Virginia,Notre Dame,UCLA,UCLA,Auburn,Colorado,Miami (FL),Arizona,Florida,Florida St.,Arizona St.,Arizona St.,South Carolina,USC,USC,Louisville,Tennessee,Texas Tech,California,Missouri,South Carolina,Alabama,North Carolina,Georgia,Ohio St.,Texas Tech,UCLA,Michigan,Alabama,Alabama,Ohio St.,Tennessee,Michigan
