school,jbp_score
Alabama,50300
Ohio St.,49510
Florida St.,47571
Oklahoma,47104
Florida,45203
Miami (FL),43450
Georgia,43252
Michigan,42955
Nebraska,42848
Clemson,42128
USC,40749
Penn St.,40652
LSU,39876
Notre Dame,39870
Auburn,39047
Texas,37943
Tennessee,37830
Oregon,35694
Virginia Tech,33772
Texas A&M,33525
Wisconsin,33364
Washington,32978
Iowa,32072
West Virginia,30091
Boise St.,29980
UCLA,29352
Oklahoma St.,29317
BYU,29094
Michigan St.,28999
Kansas St.,28229
TCU,27713
Stanford,27028
Utah,26784
Arkansas,26375
Colorado,25466
Georgia Tech,24943
Arizona St.,24000
Louisville,23848
Syracuse,23775
South Carolina,22958
Virginia,22910
North Carolina,22811
Boston College,22551
North Carolina St.,22377
Arizona,21801
Texas Tech,21560
Pittsburgh,21491
Fresno St.,21481
Mississippi,21362
Air Force,21358
Baylor,21005
Toledo,20514
Cincinnati,20227
Washington St.,19461
Missouri,18982
Mississippi St.,18541
Houston,18089
Maryland,17751
California,17228
Southern Miss,16144
Illinois,15975
Minnesota,15584
Marshall,15407
Purdue,14627
Bowling Green,14531
Central Florida,14436
Northwestern,14186
Northern Illinois,13938
Oregon St.,13931
Kentucky,13702
San Diego St.,13386
Miami (OH),13164
Wake Forest,13117
Western Michigan,12595
East Carolina,12542
Hawaii,12366
Central Michigan,11853
Navy,11207
Colorado St.,10531
Appalachian St.,10445
Tulsa,10413
Memphis,10364
Wyoming,10204
Iowa St.,9649
Louisiana Tech,9632
Rutgers,9139
Nevada,8991
South Florida,8403
Ball St.,8230
Indiana,8059
Louisiana,7653
Troy,7343
San Jose St.,6107
SMU,5981
Army,5956
Kansas,5824
Ohio,5692
Duke,5512
Utah St.,4904
Western Kentucky,3946
Liberty,3430
Coastal Carolina,2813
Middle Tenn. St.,2703
Temple,2530
Georgia Southern,2505
Vanderbilt,1935
Texas-San Antonio,1776
Rice,1757
Ala-Birmingham,1690
James Madison,1145
Tulane,615
Connecticut,-17
Arkansas St.,-831
Florida Atlantic,-976
New Mexico,-1088
Old Dominion,-1455
Eastern Michigan,-2282
South Alabama,-3064
Georgia St.,-3645
UNLV,-3697
Akron,-4268
North Texas,-4686
Charlotte,-5257
Texas-El Paso,-5440
Buffalo,-5489
Kent St.,-6144
Florida International,-7171
Texas St.,-7292
La-Monroe,-8303
New Mexico St.,-12381
Massachusetts,-12588
