"1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"Chicago","Nebraska","Indiana","TCU","Tennessee","Michigan","Virginia","Georgia","Notre Dame","Georgia","Notre Dame","Oklahoma St.","Alabama","Pennsylvania","Notre Dame","SMU","Vanderbilt","Georgia","Stanford","Oregon","Colorado St.","Notre Dame","Rice","Iowa","LSU","Tulane","Syracuse","Oregon St.","Texas Tech","Auburn","Texas","Michigan St.","USC","USC"
"Alabama","Washington St.","Ohio St.","Columbia","Duke","Texas A&M","Baylor","VMI","Wisconsin","Florida","LSU","Army","Pennsylvania","Georgia","Baylor","Notre Dame","California","Oklahoma","Arkansas","Oklahoma","Michigan St.","USC","Texas A&M","Pacific","Notre Dame","Wake Forest","North Carolina St.","LSU","Nebraska","North Carolina","Michigan","Michigan St.","Tennessee","Notre Dame"
"Notre Dame","Marquette","Duquesne","Mississippi","Arkansas","Stanford","Stanford","Tulsa","Notre Dame","Tulane","Army","Yale","Texas","SMU","Florida","LSU","San Francisco","Maryland","Notre Dame","Wisconsin","Ohio St.","Stanford","Michigan St.","Mississippi St.","LSU","Illinois","Utah St.","Mississippi","Arizona St.","Illinois","West Virginia","Florida","Tennessee St.","Purdue"
"Iowa","Minnesota","Colorado","TCU","Clemson","Washington","Duke","Columbia","Northwestern","Georgia Tech","Notre Dame","UCLA","Alabama","SMU","Minnesota","Oklahoma","Kentucky","California","Kansas St.","Notre Dame","Maryland","Michigan","Kentucky","Boston Col.","Penn St.","USC","Maryland","Michigan St.","Texas","Kansas","Indiana","Purdue","Missouri","North Texas"
"TCU","Duquesne","Arkansas","Dartmouth","Rice","Texas A&M","Michigan","Boston Col.","LSU","Michigan","Notre Dame","Texas Tech","Alabama","Nevada","Rice","Kentucky","Drake","Detroit Mercy","Baylor","Purdue","Mississippi St.","Purdue","Auburn","Oklahoma","Vanderbilt","Pittsburgh","Ohio St.","Ohio St.","USC","California","Iowa","Michigan St.","Texas-El Paso","Cincinnati"
"West Virginia","TCU","Fordham","Holy Cross","USC","Minnesota","Texas","Fordham","Indiana","Notre Dame","Marquette","UCLA","LSU","Clemson","Oklahoma","Notre Dame","Maryland","Compton CC (CA)","Illinois","Notre Dame","West Virginia","Syracuse","Michigan St.","Notre Dame","TCU","UCLA","Northwestern","Alabama","Minnesota","Tennessee","Princeton","Syracuse","North Carolina St.","Florida St."
"San Francisco","Nebraska","Purdue","Michigan St.","Hardin-Simmons","Wisconsin","USC","Columbia","Michigan","Michigan","USC","Army","Wisconsin","VMI","Auburn","LSU","Baylor","USC","Notre Dame","Georgia Tech","Auburn","Michigan St.","West Virginia","Ohio St.","Syracuse","Ohio St.","Baylor","Wisconsin","Utah St.","Texas Tech","Purdue","UCLA","Notre Dame","Penn St."
"Michigan St.","Nebraska","Gonzaga","TCU","NYU","Washington","Mississippi","Minnesota","Colgate","USC","Missouri","Oklahoma St.","Arkansas","Texas A&M","Michigan St.","Xavier (OH)","Miami (FL)","Alabama","Kentucky","Notre Dame","Miami (FL)","Ohio St.","Michigan","Ohio St.","Ohio St.","Auburn","Arkansas","UCLA","Indiana","Notre Dame","Oklahoma","Michigan St.","Syracuse","Florida"
"Ohio","Wisconsin","Detroit Mercy","Minnesota","Minnesota","Ohio St.","Minnesota","DePauw","Kansas","Notre Dame","UCLA","St. Mary's (CA)","Georgia","Notre Dame","Villanova","Alabama","Washington","UCLA","Notre Dame","Maryland","Penn St.","Miami (FL)","Texas A&M","Baylor","Northwestern","Bowling Green","LSU","Kentucky","Louisville","Washington St.","Illinois","Boston Col.","San Diego St.","Columbia"
"Rice","Purdue","Oregon St.","Arizona","USC","Michigan","Stanford","Vanderbilt","St. Mary's (CA)","Wake Forest","Notre Dame","Northwestern","Texas","Notre Dame","Ohio St.","Bradley","Tennessee","Texas","Mississippi","Rice","Texas","Oklahoma","Iowa","Utah","USC","Mississippi","Kansas","Georgia Tech","Pittsburgh","Baylor","Missouri","Arkansas","USC","Notre Dame"
